gene_name	Adrenal	Aorta	Esophagus	Fat	Gastric	Liver	Lung	Pancreas	Psoas	Right_ventricle	Colon	Small_intestines
ZCCHC11	26.3814	4.5192	8.9802	11.4727	8.8333	8.3727	10.8366	8.4212	27.854	11.1212	0.0	0.0
ZCCHC6	4.4865	1.5764	14.9288	4.0877	5.7734	6.6388	10.8016	2.4792	7.2445	3.4962	0.0	2.3713
ZEB1	3.3817	10.3961	4.7932	14.0235	3.2425	4.3895	10.8429	1.3523	18.1055	7.8084	1.2852	1.0239
ZEB2	9.772	16.0583	5.1684	62.1962	4.5284	8.8898	74.8009	0.0	7.4887	11.0499	1.381	1.7682
ZFAT	1.5762	1.6876	3.8362	3.247	1.6645	2.9326	4.0143	1.1171	7.9955	4.4338	0.0	0.0
ZFHX2	1.1502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFHX3	0.0	1.6134	0.0	1.6047	0.0	1.2518	1.754	0.0	3.3867	1.0892	0.0	0.0
ZFHX4	1.0922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP1	3.0462	1.4436	2.1218	5.6688	4.5567	3.1414	3.2612	0.0	2.3839	1.9365	0.0	0.0
ZFP14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP28	2.5783	1.812	1.4358	1.9422	1.2909	0.0	1.4925	1.1699	1.7087	2.4051	0.0	0.0
ZFP3	0.0	0.0	1.1944	1.5908	1.0297	0.0	1.4178	0.0	2.4295	2.0733	0.0	0.0
ZFP30	1.1809	1.1126	1.2632	1.3502	1.0071	1.0366	1.4218	0.0	1.0717	0.0	0.0	0.0
ZFP36L1	19.0008	13.4442	62.2044	286.3144	41.2799	77.322	301.2417	19.9452	111.0252	25.7186	3.4781	3.9206
ZFP36L2	37.0948	29.0009	38.3641	103.3776	19.4238	22.8214	51.3148	14.9917	25.5803	18.9355	7.0043	10.661
ZFP37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP41	0.0	1.1926	1.7242	2.5192	0.0	1.9752	2.7833	0.0	1.2255	1.3661	0.0	0.0
ZFP42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP57	0.0	1.124	1.0206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP62	5.5366	1.6156	7.1429	6.9381	7.408	2.6097	6.6591	4.3803	5.3677	4.1211	1.0166	1.2427
ZFP64	0.0	1.729	4.5943	3.1081	1.592	3.402	3.5414	0.0	2.2676	2.0787	0.0	0.0
ZFP82	0.0	0.0	0.0	1.1017	0.0	0.0	0.0	0.0	0.0	1.2228	0.0	0.0
ZFP91	2.1897	4.5342	11.7874	12.9072	4.0038	11.0844	14.8457	3.3186	31.8088	10.275	2.2431	2.4737
ZFP91-CNTF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFPM1	2.1146	0.0	0.0	6.2292	1.9943	4.0177	1.5477	0.0	0.0	1.2789	0.0	0.0
ZFPM2	0.0	1.6456	0.0	4.0613	0.0	0.0	1.2059	0.0	3.7854	3.3948	0.0	0.0
ZFX	2.8767	2.3334	5.5171	7.2715	1.7013	2.9532	5.042	2.7075	6.4098	2.5509	0.0	1.7418
ZFY	0.0	0.0	0.0	1.5571	1.7324	1.9326	3.0967	0.0	2.115	1.4914	0.0	0.0
ZFYVE26	2.2104	1.5443	2.787	2.6695	1.4452	2.3366	5.3161	1.6625	2.6445	1.8655	0.0	0.0
ZGLP1	3.1444	4.745	1.7027	1.3739	3.4993	0.0	1.4134	11.1804	0.0	0.0	0.0	1.0343
ZHX1	3.3625	3.4758	16.0121	13.5853	4.3405	13.0746	8.152	3.3436	6.7815	5.0374	1.5094	2.9371
ZHX2	2.6448	2.5848	3.8542	8.6925	2.0937	5.2091	7.8735	2.0763	9.1128	6.9804	0.0	0.0
ZHX3	8.9998	6.2006	4.7691	7.611	3.2209	7.7198	5.6802	1.9532	5.7728	4.1378	0.0	0.0
ZIC1	0.0	0.0	0.0	0.0	0.0	3.6433	0.0	0.0	3.0932	0.0	0.0	0.0
ZIC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZIC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZIC4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZIC5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZIK1	0.0	0.0	0.0	0.0	0.0	0.0	1.8666	0.0	1.3751	2.5171	0.0	0.0
ZIM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZIM3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZKSCAN1	6.345	2.9155	7.0038	9.3059	5.6161	8.9178	5.0988	7.2696	5.3802	2.7108	0.0	2.0576
ZKSCAN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZKSCAN3	0.0	0.0	0.0	0.0	0.0	1.0965	0.0	0.0	1.0327	0.0	0.0	0.0
ZKSCAN4	1.4416	1.0907	1.5577	1.2824	1.1293	1.5889	1.4259	0.0	0.0	1.3691	0.0	0.0
